case_id,patent_number,proceeding_number,patent_title,challenged_claims,outcome,final_result_cn,patent_type,technology_context,prior_art_context,core_dispute,tribunal_reasoning,evidence
us_0332,US10036012B2,IPR2025-00015,Compositions and methods for targeted nucleic acid sequence enrichment and high efficiency library generation,claims 1–3 and 5–22,claims not unpatentable,维持有效,其他,涉案专利涉及 NGS 场景下的靶向核酸序列富集和高效率文库构建，核心不是治疗药物，而是测序样本制备和文库制备工具。,主要现有技术 Meyer 公开了利用 SMART/anchored PCR 和 broken-T primer 处理 cDNA 3' 端片段，并用于 454 测序；请求人试图把该流程解释为对目标片段的 enrichment。,核心争点是 Meyer 文献中的 3' 端片段、broken-T primer 和 SMART/anchored PCR 流程，是否公开或使显而易见 claim 1 要求的 enrichment 步骤。,PTAB 接受 Dr. Meyer 关于 broken-T sequence 的解释，认为 16% reads 只能说明测序读数中 3' 端片段被合理代表，不能作为 enrichment 的定量证据；Meyer 未公开 claim 1 的 enrichment 限制，Siebert、Kelley、Caruccio、Bronner 也未补足该缺陷。,"confirming that they were enriched compared to other mRNA fragments”) (citing Ex. 1085 ¶ 184). On this record, we are not persuaded that the 3' fragments in Meyer are “enriched” under our construction. We explain our reasoning below. ## i. Reduce Read Artifacts During 454 Pyrosequencing Meyer's method uses 454 pyrosequencing platform. Ex. 1006, 1, 19. ""Becau"
us_0333,US10876108B2,IPR2025-00016,Compositions and methods for targeted nucleic acid sequence enrichment and high efficiency library generation,"claims 1–3, 5–12, and 14–19",claims not unpatentable,维持有效,其他,涉案专利与 us_0332 同族，涉及 NGS 靶向富集和文库生成方法，属于测序工具和样本制备技术，而非药物专利。,主要现有技术 Meyer 同样公开了 cDNA 3' 端片段处理、broken-T primer 和后续测序流程；补充文献主要用于说明 PCR 或测序中的附加步骤。,争点仍是 Meyer 是否公开权利要求要求的 enrichment，以及补充文献是否能弥补该核心限制。,PTAB 认为请求人没有证明 Meyer 满足独立权利要求的核心 enrichment 限制。在独立权利要求基础缺失的情况下，针对从属权利要求的组合理由也不能成立。,"ecited.’” Id. (quoting Minton v. Nat’l Ass’n of Securities Dealers, Inc., 336 F.3d 1373, 1381 (Fed. Cir. 2003)). We are not persuaded by Petitioner’s argument for two reasons. First, the language in the “thereby enriching” clause serves as the antecedent basis for step 1(d), which recites “sequencing the amplified products comprising the enriched nucleic aci"
us_0329,US11435360B2,IPR2024-01473,System and sensor array,"claims 1–4, 6, 7, 17, and 22–25",mixed,部分无效,其他,涉案专利题为 System and sensor array，核心是传感器阵列和生物分子指纹识别系统，属于检测平台或分析工具，不是药物本身。,现有技术主要涉及传感器阵列、生物分子检测和数据标签分配系统；请求人据此主张传感器检测结果与生物状态识别之间的对应关系已被公开或容易组合。,争点在于现有技术是否公开或使显而易见用于识别生物分子指纹、分配标签并对应生物状态的系统和传感器阵列要素。,PTAB 对不同权利要求分别评价，认为部分权利要求的要素和组合理由得到证明，另一些权利要求仍存在现有技术未充分覆盖或组合动机不足的问题。,"Patent Owner disputes those contentions. See Resp. 36–53. For the reasons explained below, we find that Petitioner has not shown that claims 1–4, 6, 7, 17, and 22–25 would have been obvious over Hu. More specifically, Petitioner has not sufficiently shown that Hu teaches or suggests step (c) of claim 1. Because this issue is dispositive for all of the claims"
us_0318,US11041852B2,IPR2024-00964,Methods for maintaining the integrity and identification of a nucleic acid template in a multiplex sequencing reaction,claims 1–8,claims not unpatentable,维持有效,其他,涉案专利涉及 multiplex sequencing 中维护核酸模板完整性和识别模板的方法，属于测序工作流和样本标识技术。,现有技术公开了多重测序、核酸模板处理和样本识别相关流程；争议在于这些文献是否真正公开保持模板完整性并完成权利要求限定的识别步骤。,争点集中在现有技术是否公开保持模板完整性、识别核酸模板及多重测序流程中的关键步骤，并是否有充分组合理由。,PTAB 认为请求人没有充分证明现有技术满足关键流程限制，或组合后能达到权利要求要求的模板完整性和识别效果。,"this argument suggests that “cross-over error” is a term of art with a generally known meaning, on this record, we are not persuaded. Indeed, in the Petition, Petitioner argues that the term “cross-over error” requires express construction, in contrast to “all other terms,” for which “[t]he plain and ordinary meaning is applied.” See Pet. 22. This distinctio"
us_0303,US10993942B2,PGR2022-00023,Combination therapy of a type II anti-CD20 antibody with a selective BCL-2 inhibitor,"claims 1–3, 5, 6, 14, 25–27, and 30 (the “challenged claims”)",mixed,部分无效,用途/适应症,涉案专利涉及 II 型 anti-CD20 抗体与选择性 BCL-2 inhibitor 的联合治疗方案，属于药物联合治疗和适应症类专利。,现有技术和原始披露围绕 II 型 anti-CD20 抗体、BCL-2 抑制剂及其在血液肿瘤治疗中的用途；本决定主要处理最终书面决定中部分权利要求结论是否需要调整。,本案是对同一 PGR 的 rehearing 或更正型决定，核心在于最终书面决定中个别权利要求的不可专利结论是否需要因依附关系和书面描述分析而调整。,PTAB 重点处理最终书面决定中的结论一致性问题，而不是重新全面审理所有实体争点；其分析围绕从属权利要求是否应随独立或上位权利要求的书面描述结论调整。,"ims were more likely than not unpatentable at least based on Petitioner’s challenge under 35 U.S.C. § 112 for a lack of written description support. Paper 8 (“Institution Decision” or “Inst. Dec.”). Pursuant to 35 U.S.C. § 324, the Board instituted trial on July 25, 2022, of all challenged claims on the written description ground. Id. Following institution"
us_0302,US10993942B2,PGR2022-00023,Combination therapy of a type II anti-CD20 antibody with a selective BCL-2 inhibitor,"claims 1–3, 5, 6, 14, 25–27, and 30 (the “challenged claims”)",mixed,部分无效,用途/适应症,本案涉及 II 型 anti-CD20 抗体与选择性 BCL-2 inhibitor 的联合治疗，用于血液肿瘤等适应症场景。,现有技术背景包括 anti-CD20 抗体、选择性 BCL-2 inhibitor 及二者在血液肿瘤治疗中的潜在联合用途；争议焦点不是两个靶点是否分别已知，而是原始说明书是否支持被要求保护的联合治疗范围。,法律争点是 written description：说明书是否足以表明发明人已经占有了权利要求要求保护的联合治疗范围。,PTAB 的判断重点不是 anti-CD20 抗体和 BCL-2 inhibitor 是否分别已知，也不是二者是否可以作为治疗方向被讨论，而是原始说明书是否把具体联合治疗方案、剂量范围和患者治疗方案与被要求保护的权利要求范围建立了足够对应关系。PTAB 没有接受从说明书中零散摘取多个披露再拼接出完整权利要求范围的做法。,tten description support from an amalgam of disclosures plucked selectively from the” ’942 patent. Id. at 1349. We are not persuaded that the sort of picking and choosing required to obtain two or more different dose amounts used in each cycle would “clearly allow persons of ordinary skill in the art to recognize that [the inventor] invented what is claimed.
us_0301,US10947513B2,PGR2022-00014,Engineered virus,,claims not unpatentable,维持有效,生物制品/抗体,涉案专利题为 Engineered virus，核心属于工程化病毒、生物制品或载体技术。,现有技术涉及工程化病毒、病毒载体构建及相关功能改造；争议在于这些披露是否足以破坏或削弱专利中具体工程化病毒方案的有效性。,争点在于请求人是否证明说明书支持、可实施性或现有技术挑战足以覆盖工程化病毒权利要求的具体结构和功能限制。,PTAB 认为请求人未能以优势证据证明关键无效理由成立，对工程化病毒相关限制的证明不足。,"4 Patent 10,947,513 B2 Inc., 849 F.3d 1034, 1043 (Fed. Cir. 2017) (“Attorney argument is not evidence.”). We are also not persuaded by Petitioner's contention that a POSITA would have focused on only “three realistic virus options” from among Silvestre’s list of eleven viruses for the insertion of multiple heterologous genes back in 2016, i.e., herpesvirus"
us_0276,US11110087B2,IPR2023-00052,Combination therapy of a type II anti-CD20 antibody with a selective Bcl-2 inhibitor,"claims 1–4, 8–14, and 18–26 (the “challenged claims”)",claims not unpatentable,维持有效,用途/适应症,涉案专利涉及 II 型 anti-CD20 antibody 与 selective Bcl-2 inhibitor 的组合治疗，属于药物联合用途和治疗方案。,现有技术公开了 anti-CD20 抗体用于 B 细胞相关肿瘤治疗，也公开了 BCL-2 抑制剂的抗肿瘤用途；请求人据此主张二者联用具有组合动机和合理成功预期。,核心争点是现有技术是否会使本领域技术人员有动机采用该抗体与 Bcl-2 抑制剂组合，并对疗效和安全性具有合理成功预期。,PTAB 认为请求人未充分证明组合动机和合理成功预期，尤其不能用事后知识把两个药物机制简单拼接为显而易见的治疗方案。,"vember 2018 Venclexta label. That is, claims 1, 9, and 19 are entitled to a priority date before November 2018. We are not persuaded by Petitioner's first argument relating to a lack of adequate guidance as the specification requires “picking and choosing” to identify the dose amounts of GDC-0199 because the single paragraph in column 24 of the ’087 patent i"
us_0268,US9145532B2,IPR2022-00832,Methods for extracting solute from a source material,,claims not unpatentable,维持有效,其他,涉案专利题为 Methods for extracting solute from a source material，核心是从原料中提取溶质的工艺或设备方法，不是药物活性成分、制剂或治疗用途本身。,现有技术公开了从原料中提取溶质的工艺和设备条件；争议在于这些公开是否覆盖权利要求中特定提取流程和条件组合。,争点在于现有提取技术是否公开权利要求中的提取步骤、装置配置或工艺条件，以及请求人的组合理由是否充分。,PTAB 认为请求人未能充分证明关键工艺限制被公开或组合后自然得到，因此无效挑战未达到优势证据标准。,"ufficient basis in establishing one’s standing as a PHOSITA.” Id. at 4 (citing Ex. 1021 (Miller Tr.), 59:4–16). We are not persuaded that Dr. Miller does not qualify as a person of ordinary skill in the art. As an initial matter, we note that Petitioner is improperly trying to narrow its original proposed level of skill in the art to now require specific exp"
us_0248,US10875007B2,IPR2022-00045,Chromatography ligand comprising domain C from Staphylococcus aureus protein A for antibody isolation,"claims 1–14, 16–32, and 34–37 (“the challenged claims)",mixed,部分无效,制备方法/中间体,涉案专利涉及含 Staphylococcus aureus protein A domain C 的 chromatography ligand，用于抗体分离和纯化，属于生物制品生产纯化工具。,现有技术公开了 Protein A 结构域与抗体层析纯化用途；请求人据此主张含 domain C 的层析配体及其抗体纯化用途已被教导或显而易见。,争点在于 Protein A 结构域、层析配体及抗体纯化用途相关权利要求是否被现有文献公开或显而易见。,PTAB 对不同权利要求分别评价，部分权利要求因现有技术教导充分而不可专利，部分权利要求仍因特定结构或性能限制未被充分证明而存活。,"gument that the Petition fails to identify a reason to select domain C persuasive. PO Resp. 17–38. Specifically, we are not persuaded by Patent Owner's contention that just because nobody was working on domain C at the time the invention was filed means selection of domain C would not have been obvious. See PO Resp. 32 (“A general recognition that there exis"
